Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 19:33:23.895240807 +0000 UTC m=+64920.863315044,1695497603,100,2.275875095376164,6.097412109375,13.799510176519425,17.658396525247696,0.0095
2023-09-23 19:34:23.865393199 +0000 UTC m=+64980.833467435,1695497663,100,3.400435462378964,6.298828125,13.79179009734781,17.800689632460294,0.009375
2023-09-23 19:35:23.944748835 +0000 UTC m=+65040.912823072,1695497723,100,3.5771809220468236,6.3995361328125,13.61696734130511,17.589189334237556,0.22
2023-09-23 19:36:23.923189468 +0000 UTC m=+65100.891263704,1695497783,100,3.6419067776482286,6.3995361328125,14.059129552070171,17.787199475030402,0.0085
2023-09-23 19:37:23.92067115 +0000 UTC m=+65160.888745387,1695497843,100,3.5740333858383972,6.3995361328125,14.027072758023618,17.758365178317682,0.020500000000000004
2023-09-23 19:38:23.904259905 +0000 UTC m=+65220.872334155,1695497903,100,4.088156054710532,6.500244140625,13.910250992964546,17.827182057358783,0.00875
2023-09-23 19:39:23.868263881 +0000 UTC m=+65280.836338118,1695497963,100,3.7015261644067348,6.500244140625,13.7958768996309,17.792883393079524,0.00925
2023-09-23 19:40:23.869724066 +0000 UTC m=+65340.837798303,1695498023,100,2.9429714775561107,6.500244140625,13.636748518167984,17.87562953051569,0.17500000000000004
2023-09-23 19:41:23.900698256 +0000 UTC m=+65400.868772492,1695498083,100,3.7864101390704854,6.70166015625,13.800981553553582,17.799543091051245,0.01600000000000001
2023-09-23 19:42:23.902608475 +0000 UTC m=+65460.870682713,1695498143,100,3.500927308088327,6.70166015625,13.720517372628871,17.71335732938793,0.00925
2023-09-23 19:43:23.952082642 +0000 UTC m=+65520.920156879,1695498203,100,4.2982793556781935,6.70166015625,13.957320938089534,17.82623067193425,0.019
2023-09-23 19:44:23.906969615 +0000 UTC m=+65580.875043852,1695498263,100,3.3415646605359712,6.70166015625,13.887596735293162,17.914002075971787,0.14500000000000007
2023-09-23 19:45:23.948664657 +0000 UTC m=+65640.916738894,1695498323,100,1.3074520774562581,6.70166015625,13.277587735988593,17.90617144209295,0.0046
2023-09-23 19:46:23.854450754 +0000 UTC m=+65700.822524990,1695498383,100,4.211433538646872,6.903076171875,14.000084363286314,17.793639622519535,0.009375
2023-09-23 19:47:23.951441287 +0000 UTC m=+65760.919515525,1695498443,100,3.1391496746203966,6.903076171875,13.769923476937752,17.637124522935096,0.009
2023-09-23 19:48:24.267035008 +0000 UTC m=+65821.235109245,1695498504,100,3.002026585232281,6.903076171875,13.950836289837998,17.820424781394802,0.0046
2023-09-23 19:49:23.929964586 +0000 UTC m=+65880.898038822,1695498563,100,3.053900049705005,6.903076171875,13.904286379173925,16.608628090020577,0.009
2023-09-23 19:50:23.932590993 +0000 UTC m=+65940.900665230,1695498623,NaN,0,0,12.633489510778784,16.484313727881812,0.0046
2023-09-23 19:51:23.936788568 +0000 UTC m=+66000.904862805,1695498683,100,0,0,12.625538020139581,16.401152883978547,0.0235
2023-09-23 19:52:24.045104339 +0000 UTC m=+66061.013178576,1695498744,NaN,0,0,14.720168954617153,16.95603013696291,NaN
2023-09-23 19:53:24.162864096 +0000 UTC m=+66121.130938333,1695498804,NaN,0,0,12.66520750906598,16.710426330445433,NaN
2023-09-23 19:54:23.85972597 +0000 UTC m=+66180.827800208,1695498863,NaN,0,0,12.146499768173879,16.655002030841963,NaN
2023-09-23 19:55:23.939411471 +0000 UTC m=+66240.907485708,1695498923,NaN,0,0,12.36853176271776,16.517197511273306,NaN
2023-09-23 19:56:23.92854216 +0000 UTC m=+66300.896616397,1695498983,NaN,0,0,12.29556567193032,16.69874136587234,NaN
2023-09-23 19:57:23.871451791 +0000 UTC m=+66360.839526028,1695499043,NaN,0,0,12.24455328489672,16.53539580682973,NaN
2023-09-23 19:58:23.994646646 +0000 UTC m=+66420.962720882,1695499103,NaN,0,0,12.14168109086643,16.65910030651687,NaN
2023-09-23 19:59:23.949056413 +0000 UTC m=+66480.917130649,1695499163,NaN,0,0,12.314690026892416,16.704766806894373,NaN
2023-09-23 20:01:23.962981743 +0000 UTC m=+66600.931055980,1695499283,NaN,0,0,12.512651821852039,16.651757562599332,NaN
2023-09-23 20:02:23.914514898 +0000 UTC m=+66660.882589134,1695499343,NaN,0,0,12.494207843610427,16.63931636858623,NaN
2023-09-23 20:03:23.890733511 +0000 UTC m=+66720.858807747,1695499403,NaN,0,0,12.254096634173228,16.6614421783311,NaN
2023-09-23 20:04:23.974842681 +0000 UTC m=+66780.942916927,1695499463,NaN,0,0,12.173216393940045,16.68127490525787,NaN
2023-09-23 20:05:24.376545504 +0000 UTC m=+66841.344619742,1695499524,NaN,0,0,12.139900312603446,16.628094899476373,NaN
2023-09-23 20:06:24.01421736 +0000 UTC m=+66900.982291597,1695499584,NaN,0,0,13.08513781603966,17.189583061436323,NaN
2023-09-23 20:07:23.874784656 +0000 UTC m=+66960.842858892,1695499643,NaN,0,0,14.680913967157617,17.80405607319325,NaN
