Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-23 22:16:24.02825619 +0000 UTC m=+74700.996330438,1695507384,100,1.1256820935178804,5.5206298828125,3.828791172049184,16.44416038406698,0.007000000000000004
2023-09-23 22:17:24.450405279 +0000 UTC m=+74761.418479516,1695507444,100,4.727142642186216,6.829833984375,1.9704639585013006,16.49424228859423,0.0046
2023-09-23 22:18:24.016152892 +0000 UTC m=+74820.984227129,1695507504,100,2.552505010860662,6.829833984375,1.9110144685154817,16.537371761172984,0.0046
2023-09-23 22:19:23.983544102 +0000 UTC m=+74880.951618340,1695507563,100,2.8141088749999987,6.829833984375,1.8872661840383498,16.530858430189653,0.0046
2023-09-23 22:20:23.952568455 +0000 UTC m=+74940.920642692,1695507623,100,2.2764876540332675,6.829833984375,1.7502721715031089,16.53000462275738,0.0046
2023-09-23 22:21:24.148281824 +0000 UTC m=+75001.116356061,1695507684,100,4.298068628331056,7.03125,2.0368898741109365,16.54783700084283,0.0046
2023-09-23 22:22:24.025990594 +0000 UTC m=+75060.994064832,1695507744,100,2.7410922657992507,7.03125,2.0102812722003094,16.535932485787157,0.0046
2023-09-23 22:23:24.104848684 +0000 UTC m=+75121.072922928,1695507804,100,2.582292169910883,7.03125,1.8146847298976643,16.55788753404557,0.0046
2023-09-23 22:24:24.029857355 +0000 UTC m=+75180.997931592,1695507864,100,3.7057876335295377,7.03125,1.8627040602710143,16.58950280353769,0.0046
2023-09-23 22:25:23.964788608 +0000 UTC m=+75240.932862845,1695507923,100,2.5654908564545655,7.03125,1.9463703951085543,16.5320781550929,0.0046
2023-09-23 22:26:24.030215739 +0000 UTC m=+75300.998289976,1695507984,100,2.141018918642713,7.03125,1.8527037764979548,16.554521093312612,0.0046
2023-09-23 22:27:24.076055284 +0000 UTC m=+75361.044129521,1695508044,100,2.082487006387042,7.03125,1.7397850361753675,16.571987553927087,0.0046
2023-09-23 22:28:24.038637525 +0000 UTC m=+75421.006711762,1695508104,100,3.1113828449136265,7.03125,1.9444676758378243,16.554521093312612,0.0046
2023-09-23 22:29:24.018443479 +0000 UTC m=+75480.986517716,1695508164,100,2.8302146594455624,7.1319580078125,1.7767558528400285,16.54117730287111,0.0046
2023-09-23 22:30:24.305428686 +0000 UTC m=+75541.273502923,1695508224,100,2.007763653500529,7.1319580078125,1.91969887076191,16.527491989456696,0.0046
2023-09-23 22:31:24.026742976 +0000 UTC m=+75600.994817213,1695508284,100,3.0416504897724024,7.1319580078125,1.781159844462854,16.55166693703902,0.0046
2023-09-23 22:32:24.192192314 +0000 UTC m=+75661.160266552,1695508344,100,3.3681441636854927,7.232666015625,2.136912976202676,17.157626268971296,0.0046
2023-09-23 22:33:24.004959646 +0000 UTC m=+75720.973033882,1695508404,100,2.8118711832107874,7.232666015625,2.0906506104806377,17.208854714907602,0.0046
2023-09-23 22:34:24.361424013 +0000 UTC m=+75781.329498250,1695508464,100,2.533346847712482,7.3333740234375,2.271396302196038,17.18036194116779,0.0046
2023-09-23 22:35:24.010346071 +0000 UTC m=+75840.978420311,1695508524,100,3.0565275530410148,7.3333740234375,2.0256131246207287,17.219368743573575,0.02125
2023-09-23 22:36:24.089540773 +0000 UTC m=+75901.057615011,1695508584,100,2.5056083639549223,7.3333740234375,1.952586026674652,17.224613560657527,0.007999999999999998
2023-09-23 22:37:24.018351437 +0000 UTC m=+75960.986425673,1695508644,100,1.4109113127141515,7.3333740234375,1.9561128526652372,17.23864039704485,0.0046
2023-09-23 22:38:24.024021472 +0000 UTC m=+76020.992095708,1695508704,100,1.997591038468453,7.3333740234375,1.9270158425038875,17.24749559984241,0.0085
2023-09-23 22:39:24.058584407 +0000 UTC m=+76081.026658647,1695508764,100,1.483505625529078,7.43408203125,1.7034990791922056,17.240469984399716,0.0046
2023-09-23 22:40:24.025651909 +0000 UTC m=+76140.993726146,1695508824,100,2.7542677817707863,7.43408203125,1.807531380759031,17.256253224647715,0.00825
2023-09-23 22:41:24.072256809 +0000 UTC m=+76201.040331047,1695508884,100,3.0414008548496967,7.43408203125,1.853168793132265,17.242250782758457,0.020500000000000004
2023-09-23 22:42:23.994389374 +0000 UTC m=+76260.962463620,1695508943,100,2.7636308574828035,7.43408203125,1.94905684051363,17.246056324456582,0.0046
2023-09-23 22:43:23.990116681 +0000 UTC m=+76320.958190918,1695509003,100,1.7298547758087086,7.43408203125,1.9028103044575362,17.268328501189842,0.008875000000000001
2023-09-23 22:44:24.069719458 +0000 UTC m=+76381.037793696,1695509064,100,2.2464472311746793,7.43408203125,1.8736930154842124,17.248739719243723,0.007999999999999998
2023-09-23 22:45:23.963449438 +0000 UTC m=+76440.931523675,1695509123,100,1.225784149961257,7.43408203125,1.9237203078060316,17.251642664513444,0.0085
2023-09-23 22:46:24.099621438 +0000 UTC m=+76501.067695674,1695509184,100,2.40961623802411,7.43408203125,1.8622363575359624,17.25847312397162,0.007999999999999998
2023-09-23 22:47:23.989304417 +0000 UTC m=+76560.957378653,1695509243,100,2.5884857594352217,7.43408203125,2.0947443241167485,17.202219411433944,0.009
2023-09-23 22:48:23.961992276 +0000 UTC m=+76620.930066513,1695509303,100,2.0491283467704724,7.43408203125,1.972914228383893,17.252081765478614,0.019
2023-09-23 22:49:24.127465458 +0000 UTC m=+76681.095539695,1695509364,100,1.6479957923459496,7.43408203125,1.8848999038715508,17.25898540843098,0.01600000000000001
2023-09-23 22:50:24.012868681 +0000 UTC m=+76740.980942934,1695509424,100,1.7621818590397558,7.43408203125,1.782799748901931,17.245129333530116,0.0075
2023-09-23 22:51:23.988572594 +0000 UTC m=+76800.956646831,1695509483,100,3.403791031341207,7.43408203125,2.074272331885618,17.243836425132674,0.0046
2023-09-23 22:52:23.974794566 +0000 UTC m=+76860.942868803,1695509543,100,5.351552818140672,7.43408203125,2.087604066433113,17.26920670312018,0.00825
2023-09-23 22:53:24.143782167 +0000 UTC m=+76921.111856404,1695509604,100,1.3309522589515466,7.43408203125,2.919402735359511,17.0024040777843,0.019
2023-09-23 22:54:24.108280253 +0000 UTC m=+76981.076354490,1695509664,100,1.438269857323568,7.43408203125,1.9759701929923157,17.110300942725377,0.009
2023-09-23 22:55:24.004921802 +0000 UTC m=+77040.972996039,1695509724,100,1.008628612735909,7.5347900390625,1.8491402752789043,17.156162599087402,0.0085
