Time,Timestamp,SuccessRate,Latency,CPUUsageRate(%),MemoryUsageRate(%),NodeCpuUsageRate(%),NodeMemoryUsageRate(%)
2023-09-22 19:49:01.173485566 +0000 UTC m=+153102.876671259,1695412141,100,13.395737212883185,23.284912109375,4.33834018630459,17.484707699025563,0.004685714285714286
2023-09-22 19:50:00.946481713 +0000 UTC m=+153162.649667395,1695412200,100,2.068843433333334,25.6011962890625,3.155909471917151,17.549109173916914,0.0047531914893617026
2023-09-22 19:51:00.903721972 +0000 UTC m=+153222.606907652,1695412260,100,3.1555769095546955,26.8096923828125,3.3204924210706865,17.57562599331347,0.004845454545454546
2023-09-22 19:52:00.895192671 +0000 UTC m=+153282.598378359,1695412320,100,2.5621347794817995,26.910400390625,3.242857742167482,17.60180128973711,0.00484
2023-09-22 19:53:00.956203456 +0000 UTC m=+153342.659389132,1695412380,100,1.9077379083876256,27.0111083984375,3.3643371878514627,17.60943676763143,0.0046749999999999995
2023-09-22 19:54:00.909441253 +0000 UTC m=+153402.612626928,1695412440,100,1.5315049916666692,28.2196044921875,3.292974150583372,17.62604942081363,0.004746938775510204
2023-09-22 19:55:00.977957715 +0000 UTC m=+153462.681143395,1695412500,100,1.6593610659396079,28.2196044921875,3.2072782156561064,17.611461510970816,0.004959999999999999
2023-09-22 19:56:00.904480028 +0000 UTC m=+153522.607665703,1695412560,100,1.526869066666666,28.3203125,3.2235077129559864,17.613998538769565,0.0047531914893617026
2023-09-22 19:57:00.952820702 +0000 UTC m=+153582.656006379,1695412620,100,2.25790849761558,25.6103515625,3.1573650886859594,17.592360618985996,0.004888
2023-09-22 19:58:00.893075378 +0000 UTC m=+153642.596261065,1695412680,100,1.8261281986900018,25.6103515625,3.2272936837211885,17.618926227378676,0.004676595744680851
2023-09-22 19:59:00.957100396 +0000 UTC m=+153702.660286081,1695412740,100,2.098584945623991,25.6103515625,3.2131037660705575,17.629245100060132,0.0046
2023-09-22 20:00:00.95488985 +0000 UTC m=+153762.658075526,1695412800,100,1.40427010833332,25.7110595703125,3.2036229453226484,17.633245797742777,0.004900000000000001
2023-09-22 20:01:00.884425319 +0000 UTC m=+153822.587611002,1695412860,100,2.066846826386747,25.7110595703125,3.33905903053211,17.63356292621762,0.0046
2023-09-22 20:02:00.939681436 +0000 UTC m=+153882.642867112,1695412920,100,2.086219070898787,25.7110595703125,3.163761314116653,17.654566589051505,0.00492
